A	ぁ,ァ
yasu	倭,匡,又,坦,宴,寧,庸,恬,悌,秦,綏,賎,賤,奉,恭,烈,靖,鳩,彦,康,休,健,易,祥,芳,寿,泰,那,楽,育,仁,慶,妥,裕,安,和,保,恵
yasura	恬
yasuri	鑢
yasusi	寧,悌,欣,恭,靖,康,健,泰,純,保
yat	八
yati	萢,八
yato	傭,雇
yatu	奴,忰,悴,憔,扮,八,勉
yawa	燮,穆,諧,輯,軟,柔,和
yawara	雍
yawaragu	凱,廱
yaya	稍
yaziri	鏃,鏑
yo	丗,乎,仍,倚,凭,咏,寓,憑,搓,撚,據,攀,於,歟,淤,畭,籀,綯,縒,羊,臾,舁,與,蓉,蕷,詠,誦,譱,譽,讀,豫,輿,醉,閼,隱,靠,飫,餘,饒,馮,酔,避,善,米,因,代,ヨ,よ,余,読,寄,除,吉,嘉,弥,夜,上,呼,洋,好,四,良,葉,与,夫,由,能,訓,止,隠,誉,予,世,依,預,陽,拠
yobina	號,号
yoboru	伸
yobu	呼
yodare	涎
yodo	澱,淀
yogo	汚
yoi	俶,宵,懿,臧,誼,酔,嘉,生
yoikane	鉚
yoko	横
yokogi	軫
yokoito	緯
yokome	网
yokosi	邪
yokosima	佞,侫,咼
yoku	峪,弋,慾,杙,沃,翊,臆,閾,浴,翼,翌,欲,抑
yoma	米
yome	娵,嫁
yomi	詁,読,嘉
yomigae	甦,蘇,蘓
yomo	智
yomogi	艾,蒿,蓬,蕭
yon	鎔,四
yona	汰,淘,米
yonageru	沙
yone	米
yonedo	粐
yonkasira	网
yono	米
yori	于,从,從,撚,於,閑,順,頼,賀,従,寄,自,依,和
yoro	蹌,蹣,鎧,宜,寄
yoroi	冑,鎧
yoroko	僖,兌,忻,怡,憙,懌,懽,欣,歡,熈,熙,驩,悦,喜,慶,歓,煕
yorozu	萬,万
yoru	仍,仗,夜
yose	寄
yosi	允,叔,如,寧,巌,巖,彬,悌,惟,慈,欣,欽,淑,甫,睦,禄,禎,膳,艶,艷,芹,萬,葭,薫,蘆,譱,馨,麗,亮,佳,圭,宜,巧,恭,悦,桂,祐,芦,儀,彦,善,徳,理,幸,順,香,喜,賀,伊,新,吉,憲,剛,嘉,祥,芳,洋,好,愛,良,英,兄,啓,昌,泰,詳,優,美,可,義,由,能,仁,克,快,慶,至,領,哲,雅,福,次,充,孝,宗,敬,元,和,功,純,勝,成,宣,栄,貴,意
yosimi	媾,誼,嘉,美
yosoo	妝,扮,裝,装
yosuga	縁
yot	四
yoti	頼
yotu	四
yotugi	胄
you	丿,佯,佻,俑,傭,厭,咬,壅,夭,妖,姚,孕,幺,庸,廱,徭,徼,怏,恙,慂,慵,應,拗,揄,搖,昜,暎,暘,暢,曄,杳,桶,楊,榕,榮,樣,櫻,殀,殃,沃,涌,湧,漾,瀁,煬,熔,燿,犹,猷,珱,瑛,瑤,瑶,瓔,甬,痒,瘍,癢,癰,穃,窈,窕,窯,窰,纓,罌,羊,耀,膺,臾,蓉,蛹,蝿,蠅,謠,踰,踴,遙,遥,邀,酊,酩,醺,銚,鎔,雍,霙,靨,鞅,頌,飫,魘,鱶,鷂,鸚,謡,鷹,養,用,八,擁,溶,雄,様,洋,葉,幼,腰,菜,踊,応,桜,容,領,揚,揺,曜,陽,栄,要
youhen	幺
youyaku	稍
yowa	嬬,孱,懦,羸,齒,齡,歯,弱,齢
yowai	脆,齒,歯,歳
yozi	捩
yu	佑,侑,兪,喩,彌,徂,徃,悠,愈,愉,揄,揖,搖,柚,楡,涌,渝,湧,瑜,疣,瘉,肬,腴,臾,茹,萸,蕕,蝓,覦,諛,踰,逝,逾,邁,閖,雍,鼬,弓,憂,癒,幸,油,ユ,ゆ,百,友,唯,猶,行,雄,宙,往,湯,諭,与,優,由,輸,露,有,揺,結,世,夕,裕,温,遊
yubi	指
yubukuro	韜
yuda	委
yudame	弼,檠
yue	故
yuga	咼,歪
yugi	靫,靭,靱
yuha	弭
yui	惟,維,遺,唯,由,結
yuka	牀,床
yukari	紫,縁
yuki	亨,侑,夊,如,晋,裄,靭,恭,之,徳,幸,順,千,喜,志,維,将,介,征,祥,行,歩,展,雪,世,敬,元
yuku	之,行
yukuha	的
yume	梦,夢
yumi	弓,之,歩
yumibukuro	韜
yuri	岼
yuru	宥,弛,恕,綽,聽,萬,釋,聴,万,許,寛,釈,緩
yuruga	忽
yurusu	允
yusu	嗽,梼,濯
yuta	豐,豊,寛
yutaka	穣,穰,胖,饒,豊,寛,泰,浩,裕,温
yuu	佑,侑,俑,厭,又,囮,囿,宥,尤,岫,幽,悒,悠,愉,拗,揄,揖,攸,柚,梍,楢,涌,游,湧,犹,猷,疣,肬,莠,蕕,蚰,蛔,蝣,迪,邑,郁,酉,釉,鮪,黝,鼬,憂,祐,輔,熊,油,友,右,猶,融,雄,勇,諭,優,夫,由,有,結,夕,裕,誘,遊,郵
yuumesi	餔
yuwai	祝
yuzu	柚,禅,禪,讓,遜,譲
yuzuri	譲
yuzuriha	杠
za	坐,戯,挫,蓙,坂,ザ,ざ,座,蔵,三,謝
zabu	三
zae	三
zai	劑,戝,薺,罪,材,財,剤,在
zakana	魚
zaki	鷽,咲
zako	廻
zaku	雀
zakuro	榴
zan	塹,嶄,巉,慙,慚,懴,懺,斬,槧,殘,竄,纔,讒,鏨,鱒,惨,残,暫
zaru	猿,笊
zatu	襍,雜,雑
ze	膳,ゼ,ぜ,是,慮
zei	噬,橇,毳,筮,脆,蚋,蛻,城,説,勢,税,泉
zeki	関
zen	冉,喘,懦,斬,楠,漸,禅,禪,繕,膳,苒,蝉,蠕,褝,襌,譱,賎,賤,髯,善,全,前,然,銭,泉
zeni	湶,錢,銭
zenisasi	緡,繦
zenmai	薇
zero	零
zeti	鞨
zetu	舌,蚋,絶
zi	亊,侍,兒,冶,塒,壽,孳,尓,岻,峙,弍,弐,怩,恃,慈,爾,珥,璽,甚,畤,痔,穉,而,膩,臑,茅,茲,蒔,貮,貳,轜,辭,迩,邇,陀,雉,餌,馳,稚,芽,樹,治,遅,辞,寺,締,ジ,じ,除,磁,地,時,自,児,事,値,字,良,出,仕,寿,滋,耳,路,仁,似,人,二,示,茨,次,智,持,道,染
ziTU	十
zii	爺
zika	直
zikara	力
ziki	喰,寔,境,食,直
ziku	宍,忸,柚,竺,肭,舳,衂,衄,軸
zime	占
zin	仞,仭,侭,儘,儿,刄,塵,壬,姙,恁,椹,潭,潯,燼,甚,盡,糂,腎,荏,荵,蕁,蕈,衽,袵,訊,迅,靫,靭,靱,刃,妊,稔,辰,鎮,陣,志,尋,尽,沈,珍,仁,臣,神,人
zine	笹
zinkou	樒,櫁
ziretta	懊
zirusi	印
zisya	轜
ziti	姪
zitu	實,昵,衵,実,日
zizi	爺
zizii	爺
zo	ゾ,ぞ,須,三,沿,初,染
zoi	添
zoki	位
zoku	嗾,屬,戝,簇,粟,續,蔟,蜀,賊,鏃,俗,属,財,族,続
zome	染
zon	存
zono	薗,園
zore	嵐
zou	慥,憎,曹,曾,橡,筱,臟,臧,艢,藏,襍,雜,篠,像,雑,蔵,曽,象,造,三,藤,増,臓,贈
zu	亊,厨,圖,廚,弗,杜,荳,荼,蚓,誦,逗,擦,瑞,主,ズ,ず,手,津,図,尋,豆,事,頭,刷,尽,鶴,住,済,集,都,鈴
zubon	袴
zui	惴,膸,蕊,蕋,蘂,陏,隋,隨,髓,瑞,随,髄,泉
zuimusi	螟
zuka	塚
zuke	野
zuki	附,月
zukin	帽
zukuri	造
zuma	瀦,妻
zume	詰
zumi	曇,棲,角,積,済,泉,水
zumo	雲
zuna	網
zura	面
zure	連
zuri	摺,刷
zuru	狡
zusa	總,総
zya	じゃ,ジャ,惹,戯,耶,蛇,闍,麝,邪,写
zyaku	嫋,廻,惹,搦,擲,柘,瘠,簀,蒻,藉,鉐,雀,鵲,鶸,寂,若,着,弱
zyan	雀
zyo	じょ,ジョ,叙,如,恕,抒,敍,敘,汝,絮,耡,舒,茹,莇,藷,鋤,徐,除,序,助,女,受
zyoi	高
zyoku	搦,溽,濁,縟,耨,蓐,褥,辱
zyou	丞,乘,仍,仗,佻,允,冗,剩,嘗,塲,壤,奘,嫋,嫐,嫦,嬢,嬲,孃,尉,帖,弉,拯,捻,掟,掾,撓,擾,攘,晟,杖,條,橈,淨,溺,滌,烝,牒,犹,甞,疂,疉,疊,禳,穣,穰,絛,繞,繩,聶,肇,茸,蕘,蟐,蟯,襄,諚,讓,趙,躡,遶,鄭,醸,釀,錠,鑷,靜,饒,驤,壌,畳,蒸,靖,静,盛,定,場,城,剰,浄,生,上,条,門,丈,乗,常,状,情,娘,譲,成,縄
zyu	じゅ,ジュ,从,儒,儔,呪,咒,壽,嬬,孺,從,懦,戍,洳,濡,竪,籀,綬,臑,蠕,襦,誦,豎,躊,酋,雛,頌,鷲,樹,習,就,従,入,授,寿,住,受,数,需
zyuTU	十
zyuku	孰,粥,耨,塾,熟
zyun	凖,徇,循,恂,惇,楯,殉,洵,笋,筍,絢,荀,詢,遵,醇,閏,閠,隼,馴,鶉,准,淳,潤,盾,旬,順,準,巡,純
zyutu	恤,戌,朮,述,術
zyuu	什,从,廿,從,忸,戉,戎,揉,澀,澁,瀞,狃,獣,獸,糅,紐,絛,絨,縱,蹂,鈕,鞣,拾,汁,従,寿,柔,縦,渋,住,十,充,銃,重
zyuumata	支
